Marque_Modele,VERSION,ENERGIE,Boite_de_vitesse,PUISS_FISCALE,DATE,MALUS,PRIX_Neuf
Dacia Lodgy,TCe 130 FAP Essentiel (Monospace),Essence,Manuelle,7CV,02/2020,1074,15300
Toyota Yaris,70 VVT-i Active (5p.),Essence,Manuelle,4CV,09/2018,0,15350
Toyota Yaris Société,70 VVT-i Active (3p.),Essence,Manuelle,4CV,09/2018,0,15364
Seat Ibiza,1.0 80 ch BVM5 Reference (5p.),Essence,Manuelle,4CV,02/2020,0,15390
Citroen C1,Airscape VTi 72 Shine (3p.),Essence,Manuelle,4CV,01/2020,0,15400
Opel Corsa,1.2 75 BVM5 Edition (5p.),Essence,Manuelle,4CV,07/2019,0,15400
Peugeot 108,1.0i 12V VTi 72 BVM5 Collection (5p.),Essence,Manuelle,4CV,04/2019,0,15400
Toyota Aygo,1.0 VVT-i 72 x-shift x-sport (5p.),Essence,Automatique,4CV,02/2019,0,15450
Kia Picanto,1.2i 84 BVM5 GT Line (5p.),Essence,Manuelle,5CV,06/2018,150,15490
Toyota Aygo,1.0 VVT-i x-shift x-cite 2 (5p.),Essence,Automatique,4CV,10/2019,0,15490
Toyota Aygo,1.0 VVT-i 72 x-shift x-cite 2 (5p.),Essence,Automatique,4CV,04/2019,0,15490
Toyota Aygo,1.0 VVT-i x-shift x-trend 2 (5p.),Essence,Automatique,4CV,04/2019,0,15490
Dacia Dokker,1.3i 16V TCe 130 Stepway (Combiné),Essence,Manuelle,7CV,01/2019,1629,15500
Dacia Dokker,TCe 130 FAP Stepway (Combiné),Essence,Manuelle,7CV,02/2020,1276,15500
Hyundai i10,1.0 67 Edition #1 (5p.),Essence,Manuelle,4CV,12/2019,0,15500
Hyundai i20,1.0 T-GDi 100 Initia (5p.),Essence,Manuelle,5CV,01/2019,0,15500
Peugeot 208,1.2i 12V 75 BVM5 Like (5p.),Essence,Manuelle,4CV,06/2019,0,15500
Renault Clio Société,1.0 SCe 75 (5p.),Essence,Manuelle,4CV,10/2019,100,15500
Dacia Dokker,1.5 Blue dCi 95 Essentiel (Combiné),Diesel,Manuelle,5CV,06/2019,125,15550
Dacia Dokker,Blue dCi 95 Essentiel (Combiné),Diesel,Manuelle,5CV,02/2020,75,15550
Kia Picanto,1.2 84 ch BVM5 GT Line (5p.),Essence,Manuelle,5CV,01/2020,150,15590
Toyota Yaris,70 VVT-i France (3p.),Essence,Manuelle,4CV,09/2018,0,15650
Skoda Fabia Combi,1.0 MPI 60 BVM5 Business (Break),Essence,Manuelle,3CV,01/2020,0,15670
Citroen C1,VTi 72 Origins (5p.),Essence,Manuelle,4CV,01/2020,0,15700
Renault Twingo,0.9i TCe 95 Intens (5p.),Essence,Manuelle,5CV,03/2019,0,15700
Ford Tourneo Courier,1.5 TDCI 75 BV6 Ambiente (Monospace),Diesel,Manuelle,4CV,09/2019,0,15740
Dacia Lodgy,1.5 Blue dCi 95 Essentiel (Monospace),Diesel,Manuelle,5CV,06/2019,0,15750
Dacia Lodgy,Blue dCi 95 Essentiel (Monospace),Diesel,Manuelle,5CV,02/2020,0,15750
Fiat 500,1.2i 69 Eco Pack 500 by Harcourt (3p.),Essence,Manuelle,4CV,04/2019,190,15790
Fiat 500,1.2i 69 Euro 6D S (3p.),Essence,Manuelle,4CV,10/2018,360,15790
Fiat 500 C,1.2i 69 Pop (Cabriolet),Essence,Manuelle,4CV,05/2019,210,15790
Kia Picanto,1.2i 84 BVM5 X Line (5p.),Essence,Manuelle,5CV,06/2018,150,15790
Suzuki Swift,1.2 Dualjet Hybrid Privilège (5p.),Essence,Manuelle,4CV,10/2019,0,15790
Dacia Lodgy,1.4i 16V TCe 130 Stepway (Monospace),Essence,Manuelle,7CV,01/2019,1172,15800
Dacia Lodgy,TCe 130 FAP Stepway (Monospace),Essence,Manuelle,7CV,02/2020,983,15800
Citroen C3,1.2i 12V 82 PureTech Feel (5p.),Essence,Manuelle,4CV,07/2018,0,15850
Dacia Duster,1.0i 12V TCE 100 4x2 Confort (Tout-Terrain),Essence,Manuelle,5CV,12/2019,280,15850
Dacia Duster,ECO-G 100 4x2 Confort (Tout-Terrain),GPL,Manuelle,5CV,02/2020,400,15850
Ford Ka +,1.5 TDCi 95 Active (5p.),Diesel,Manuelle,5CV,03/2018,0,15850
