Marque_Modele,VERSION,ENERGIE,Boite_de_vitesse,PUISS_FISCALE,DATE,MALUS,PRIX_Neuf
Seat Ateca,2.0 TDI 150 Xcellence (5p.),Diesel,Manuelle,8CV,11/2018,230,36100
Volvo XC40,T2 129 ch Inscription (Tout-Terrain),Essence,Manuelle,7CV,01/2020,2205,36100
Fiat Talento,1.6D MultiJet 145 1.2 LH2 Pack Pro NAV (Fourgon),Diesel,Manuelle,5CV,06/2016,15506,36102
Fiat Talento Plancher Cabine Approfondie,1.2 CH1 1.6D MultiJet 95 1.2 LH1 Pack Techno (Fourgon),Diesel,Manuelle,5CV,01/2017,,36102
Isuzu Série N Evolution,N 35 3.0 D 150 Serie Blue (Châssis),Diesel,Manuelle,10CV,01/2014,20000,36108
Citroen Jumpy,XS 2.0 BlueHDi 150 BVM6 CITYVAN (Fourgon),Diesel,Manuelle,7CV,04/2019,1504,36120
Peugeot Expert,Compact (Fourgon Tolé) 2.0 BlueHDi 150 EAT8 URBAN (Fourgon),Diesel,Manuelle,7CV,04/2019,1504,36120
Renault Trafic Cabine Approfondie,2.0 dCi 120 GRAND CONFORT (Fourgon),Diesel,Manuelle,7CV,01/2020,2544,36120
Mercedes Vito Tourer,114 CDI 136 Tourer Extra Long FWD Base (Combiné),Diesel,Manuelle,8CV,09/2019,11488,36127
Fiat Ducato,3.3 C H1 2.0D MultiJet 115 Euro 6 Série Spéciale Pack Pro Nav (Fourgon),Diesel,Manuelle,7CV,07/2016,8671,36132
Toyota Proace Cabine Approfondie,Long 2.0L 120 D-4D BVM6 ACTIVE (Fourgon),Diesel,Manuelle,7CV,11/2019,4279,36142
Toyota Proace Fourgon,Long 2.0L 120 D-4D BVA8 ACTIVE (Fourgon),Diesel,Automatique,7CV,11/2019,3331,36142
BMW Série 2 Gran Coupé,218i Gran Coupé 140ch Luxury (Coupé),Essence,Manuelle,7CV,10/2019,260,36150
Opel Insignia Grand Sport,1.6 D 136 BVA6 Elegance Business (5p.),Diesel,Automatique,7CV,06/2019,280,36150
Fiat Talento Combi,1.2 LH1 1.6D MultiJet 120 Euro 6C (Combiné),Diesel,Manuelle,7CV,10/2018,,36162
Mitsubishi L200 Pick-Up Club Cabine,2.3D 150 4WD AS&G INSTYLE (Pick-Up),Diesel,Manuelle,8CV,06/2019,20000,36190
Kia Pro_Cee'd,1.6 CRDi 136 DCT7 GT Line Premium (3p.),Diesel,Automatique,7CV,12/2018,0,36190
Volkswagen Coccinelle Cabriolet,1.4 TSI 150 BlueMotion Technology DSG7 Couture Exclusive (Cabriolet),Essence,Automatique,8CV,07/2016,818,36190
Fiat Ducato,3.0 C H1 2.0D MultiJet 115 Euro 6 Pack Techno (Fourgon),Diesel,Manuelle,7CV,07/2016,8671,36192
BMW Série 2 Active Tourer,216d Active Tourer 116ch DKG7 Business Design (Monospace),Diesel,Automatique,6CV,02/2018,0,36200
Citroen C5 AirCross,2.0 BlueHDi 180 EAT8 Feel (Tout-Terrain),Diesel,Automatique,9CV,09/2018,360,36200
Mercedes Classe A Berline,A 200 Berline 163ch 7G-DCT Business Line (4p.),Essence,Automatique,8CV,09/2018,230,36200
Mercedes Classe A Berline,A 180 d Berline 116 ch 7G-DCT Progressive Line (4p.),Diesel,Automatique,6CV,09/2018,0,36200
Mini Mini Countryman,1.5i Twin Power Turbo 136 Cooper Longstone (Tout-Terrain),Essence,Manuelle,7CV,01/2019,650,36200
Peugeot 3008,1.5 BlueHDi 130 BVM6 Allure Business (Tout-Terrain),Diesel,Manuelle,6CV,06/2019,0,36200
Peugeot 508,1.5 BlueHDi 130 BVM6 Allure (5p.),Diesel,Manuelle,6CV,03/2018,0,36200
Renault Grand Scénic,1.7 Blue dCi 120 SL Black Edition (Monospace),Diesel,Manuelle,6CV,05/2019,540,36200
Renault Scénic,1.7 Blue dCi 120 EDC Business Intens (Monospace),Diesel,Automatique,6CV,01/2019,450,36200
Opel Zafira Life,L2 (PTAC Augmenté) 1.5 D 120 Business (Monospace),Diesel,Manuelle,6CV,03/2019,650,36210
Ford Transit Châssis Cabine,P330 L1 2.0D 130 EcoBlue Ambiente (Châssis),Diesel,Manuelle,7CV,05/2019,10488,36216
Fiat Talento Plancher Cabine Approfondie,1.2 CH1 1.6 D MultiJet 120 1.2 CH1 Pack Pro NAV (Fourgon),Diesel,Manuelle,5CV,01/2017,,36222
Fiat Talento Plancher Cabine Approfondie,1.6 MULTIJET 95 PACK PRO NAV (Fourgon),Diesel,Manuelle,5CV,08/2019,10980,36228
Volkswagen T-Roc,2.0 TDI 150 DSG7 Carat (Tout-Terrain),Diesel,Automatique,8CV,01/2019,190,36230
Ford Transit Custom Fourgon,280 L1H2 2.0D 170 EcoBlue Trend Business (Fourgon),Diesel,Manuelle,10CV,11/2017,7086,36240
Ford Transit Fourgon,T350 L2H3 2.0D 105 EcoBlue Ambiente (Fourgon),Diesel,Manuelle,7CV,05/2019,9103,36240
Renault Kangoo Express,Z.E. Electrique 60 BVA Achat Integral Generique (Fourgonnette),Électrique,Automatique,7CV,06/2018,-6000,36240
Renault Master,L2H2 3.3t 2.3 dCi 135 Générique (Fourgon),Diesel,Manuelle,8CV,06/2019,14881,36240
Renault Trafic,L1H1 2.0 dCi 170 GRAND CONFORT (Fourgon),Diesel,Manuelle,7CV,11/2019,2918,36240
Renault Trafic Cabine Approfondie,2.0 dCi 120 CONFORT (Fourgon),Diesel,Manuelle,7CV,01/2020,2544,36240
DS DS7 CrossBack,1.2i 130 PureTech BVM6 Business (Tout-Terrain),Essence,Manuelle,7CV,07/2018,260,36250
Mercedes Classe A,A 200 163ch 7G-DCT Progressive Line (5p.),Essence,Automatique,8CV,03/2018,230,36250
Opel Zafira Life,L3 1.5 D 120 Business (Monospace),Diesel,Manuelle,6CV,03/2019,650,36250
Volvo XC40,2.1i T3 163 Business (Tout-Terrain),Essence,Manuelle,9CV,01/2019,2205,36250
Fiat Ducato,3.0 C H1 2.3D MultiJet 130 Euro 6 Pack Professional (Fourgon),Diesel,Manuelle,8CV,07/2016,10980,36252
Ford Transit Custom Fourgon,340 L1H2 2.0D 130 EcoBlue Trend Business (Fourgon),Diesel,Manuelle,8CV,11/2017,6375,36252
Ford Transit Custom Fourgon,320 L2H2 2.0D 130 EcoBlue Trend Business (Fourgon),Diesel,Manuelle,8CV,11/2017,10488,36252
Nissan Navara Pick-Up,2.3 DCI 160 ACENTA (Pick-Up),Diesel,Manuelle,8CV,07/2019,9550,36260
Ford Transit Fourgon,T310 L3H2 2.0D 105 EcoBlue Trend Business (Fourgon),Diesel,Manuelle,7CV,05/2019,9103,36282
BMW Série 2 Active Tourer,216d Active Tourer 116ch DKG7 Lounge (Monospace),Diesel,Automatique,6CV,02/2018,0,36300
BMW Série 2 Coupé,218i Coupé 136ch Sport (Coupé),Essence,Manuelle,7CV,02/2019,1504,36300
Citroen Grand C4 SpaceTourer,2.0 BlueHDi 160 EAT8 Business+ (Monospace),Diesel,Automatique,9CV,04/2018,360,36300
Citroen Jumpy,XL 2.0 BlueHDi 150 BVM6 Club (Fourgon),Diesel,Manuelle,7CV,11/2016,1901,36300
Citroen Jumpy Cabine Approfondie,M 1.5 BlueHDi 120 BVM6 CLUB 300 NM (Fourgon),Diesel,Manuelle,5CV,04/2019,310,36300
Mini Mini Cabriolet,2.0i Twin Power Turbo 192 BVA7 Cooper S Chili (Cabriolet),Essence,Automatique,11CV,05/2018,330,36300
Mini Mini Cabriolet,Cooper 136 ch BVA7 Finition John Cooper Works (Cabriolet),Essence,Automatique,7CV,01/2020,330,36300
Mini Mini Clubman,2.0i Twin Power Turbo 192 BVA7 Cooper S Business Design (Break),Essence,Automatique,10CV,05/2019,400,36300
Mini Mini Countryman,1.5i Twin Power Turbo 136 ALL4 BVA8 Cooper Business Design (Tout-Terrain),Essence,Automatique,8CV,01/2019,1276,36300
Mini Mini Countryman,1.5i Twin Power Turbo 136 ALL4 BVA8 Cooper Chili (Tout-Terrain),Essence,Automatique,8CV,01/2019,1276,36300
Mini Mini Countryman,2.0i Twin Power Turbo 192 BVA7 Cooper S (Tout-Terrain),Essence,Automatique,11CV,01/2019,818,36300
Mitsubishi Canter Châssis Cabine,3C15N25 (Châssis),Diesel,Manuelle,10CV,05/2016,,36300
Mitsubishi Canter Châssis Cabine,3C15N28 (Châssis),Diesel,Manuelle,10CV,05/2016,,36300
Mitsubishi Canter Châssis Cabine,3C15N34 (Châssis),Diesel,Manuelle,10CV,05/2016,,36300
Mitsubishi Canter Châssis Cabine,3C15N39 (Châssis),Diesel,Manuelle,10CV,05/2016,,36300
Nissan Qashqai,1.7 dCi 150 Intelligent 4x4 Business+ (Tout-Terrain),Diesel,Manuelle,8CV,05/2019,1276,36300
Nissan Qashqai,1.7 dCi 150 Intelligent 4x4 Business+ (Tout-Terrain),Diesel,Manuelle,8CV,07/2019,1276,36300
Nissan X-Trail,1.6 dCi 150 Xtronic Acenta (Tout-Terrain),Diesel,Automatique,8CV,04/2019,3119,36300
Peugeot Expert,Long (Fourgon Tolé) 2.0 BlueHDi 150 EAT8 PREMIUM (Fourgon),Diesel,Manuelle,7CV,04/2019,1901,36300
Renault Grand Scénic,1.7 Blue dCi 150 EDC Business (Monospace),Diesel,Automatique,8CV,12/2019,540,36300
Renault Master Combi,L1H1 E6 2.3 dCi 135 (Combiné),Diesel,Manuelle,8CV,12/2019,6724,36300
Seat Ateca,1.5 TSI 150 ACT DSG7 FR (5p.),Essence,Automatique,8CV,06/2019,210,36300
Toyota C-HR,122h Hybride 120 e-CVT Collection (Tout-Terrain),Hybride,Automatique,4CV,04/2018,0,36300
Toyota C-HR,122h Hybride 120 BVA JBL Edition (Tout-Terrain),Hybride,Automatique,4CV,05/2019,0,36300
Opel Vivaro,L3 (PTAC Augmenté) 2.0 D 120 BVA8 PACK CLIM (Fourgon),Diesel,Automatique,7CV,07/2019,2544,36312
Volkswagen Caddy Van,2.0 TDI 150 4MOTION BVM6 BUSINESS LINE (Fourgon),Diesel,Automatique,7CV,01/2020,2544,36312
Volkswagen Transporter Châssis Double Cabine,L2 2.0 TDI 114 FAP Business Line (Châssis),Diesel,Manuelle,7CV,08/2016,14273,36312
Ford Transit Chassis Modulaire,T350 L2 2.0D 130 EcoBlue Trend (Châssis),Diesel,Manuelle,7CV,05/2019,5404,36336
Toyota Proace Combi,2.0 D-4D 120 BVA8 Dynamic (Combiné),Diesel,Automatique,7CV,06/2019,3331,36340
Fiat Talento Plancher Cabine Approfondie,1.2 LH1 1.6D MultiJet 145 1.2 LH1 Pack (Fourgon),Diesel,Manuelle,5CV,06/2016,,36342
Toyota Proace Fourgon,Long 2.0L 120 D-4D BVM6 DYNAMIC PACK CONFORT (Fourgon),Diesel,Manuelle,7CV,11/2019,2544,36346
BMW Série 1,116d 116ch DKG7 Luxury (5p.),Diesel,Automatique,6CV,05/2019,0,36350
Citroen C5 AirCross,1.6i 180 PureTech EAT8 Business+ (Tout-Terrain),Essence,Automatique,10CV,09/2018,650,36350
Infiniti Q30,2.0t 211 7DCT Sport (Tout-Terrain),Essence,Automatique,12CV,02/2018,2370,36350
Jeep Compass,1.4i MultiAir II 140 BVM6 Signature (Tout-Terrain),Essence,Manuelle,8CV,10/2018,5105,36350
Citroen Jumper,30 L2H2 (Tolé) 2.0 BlueHDi 120 BVM6 Control (Fourgon),Diesel,Manuelle,7CV,06/2019,4543,36360
Nissan NV300 Cabine Approfondie,L1H1 2T8 2.0 DCI 120 BVM OPTIMA (Fourgon),Diesel,Manuelle,7CV,08/2019,,36360
Peugeot Boxer,330 L2H2 1.5 BlueHDi 120 PRO (Fourgon),Diesel,Manuelle,7CV,07/2019,4543,36360
Renault Trafic,L2H2 2.0 dCi 145 CONFORT (Fourgon),Diesel,Manuelle,7CV,11/2019,7462,36360
Renault Trafic,2.0 dCi 170 CONFORT (Fourgon),Diesel,Manuelle,7CV,11/2019,2918,36360
Renault Trafic Cabine Approfondie,L1H1 1000kg 2.0 dCi 145 Energy Euro 6 CONFORT (Fourgon),Diesel,Manuelle,7CV,06/2019,2370,36360
Volkswagen Golf Sportsvan,1.5 TSI 150 DSG7 Carat (Monospace),Essence,Automatique,8CV,12/2019,0,36360
Volkswagen Transporter,6.1 FGN VITRE L1H1 2.0 TDI 110 BVM5 BUSINESS LINE (Fourgon),Diesel,Manuelle,7CV,11/2019,7851,36360
Seat Tarraco,1.5 TSI 150 BVM6 Urban (Tout-Terrain),Essence,Manuelle,8CV,06/2019,450,36370
Fiat Ducato,3.0 C H1 2.3D MultiJet 130 Euro 6 Série Spéciale Pack Pro Nav (Fourgon),Diesel,Manuelle,8CV,07/2016,10980,36372
Ford Transit Custom Fourgon,300 L1H2 2.0D 130 EcoBlue Limited (Fourgon),Diesel,Manuelle,8CV,11/2017,6375,36372
Opel Vivaro,L1 2.0D 180 BVA8 Pack Clim (Fourgon),Diesel,Manuelle,7CV,03/2019,2049,36372
Toyota Proace Fourgon,Long 2.0L 120 D-4D BVA8 DYNAMIC (Fourgon),Diesel,Automatique,7CV,11/2019,2544,36382
Toyota Proace Fourgon,Long 2.0L 150 D-4D BVM6 DYNAMIC (Fourgon),Diesel,Manuelle,7CV,11/2019,1901,36382
Mercedes Vito Mixto,110 CDI Mixto Long 102 ch SELECT (Fourgon),Diesel,Manuelle,5CV,09/2019,15506,36384
Skoda Octavia Combi,2.0 TDI 184 FAP 4x4 DSG7 Scout (Break),Diesel,Automatique,10CV,06/2018,1901,36390
BMW Série 2 Gran Tourer,218i Gran Tourer 140ch DKG7 Business Design (Monospace),Essence,Automatique,8CV,02/2018,210,36400
BMW Série 2 Gran Tourer,218i Gran Tourer 140ch DKG7 Lounge (Monospace),Essence,Automatique,8CV,02/2018,210,36400
Ford Kuga,1.5 EcoBlue 120 4x2 BVA8 ST-Line Business (Tout-Terrain),Diesel,Automatique,6CV,12/2019,190,36400
Mazda 3,2.0i SkyActiv-X M Hybrid 180 4x4 BVA6 Exclusive (5p.),Essence,Automatique,10CV,05/2019,400,36400
Mercedes Classe SLC,SLC 180 156ch SLC (Roadster),Essence,Manuelle,8CV,06/2018,2726,36400
Mini Mini Clubman,1.5i Twin Power Turbo 136 BVA7 Cooper John Cooper Works (Break),Essence,Automatique,7CV,05/2019,310,36400
Mini Mini Clubman,2.0i Twin Power Turbo 192 ALL4 BVA8 Cooper S (Break),Essence,Automatique,11CV,05/2019,1761,36400
Mini Mini Clubman,2.0D 190 BVA8 Cooper SD (Break),Diesel,Automatique,10CV,05/2019,125,36400
Mini Mini Countryman,136 ch Cooper Yours (Tout-Terrain),Essence,Manuelle,7CV,01/2020,650,36400
Mini Mini Countryman,1.5i 102 BVA7 One Longstone (Tout-Terrain),Essence,Automatique,6CV,01/2019,360,36400
Nissan Leaf,Electrique 150 (40kWh) BVA Acenta (5p.),Électrique,Automatique,4CV,04/2019,-6000,36400
Nissan Leaf,Electrique 40kWh BVA Acenta (5p.),Électrique,Automatique,4CV,01/2020,-6000,36400
Nissan Qashqai,1.7 dCi 150 Intelligent 4x4 Xtronic Business Edition (Tout-Terrain),Diesel,Automatique,8CV,05/2019,3331,36400
Nissan Qashqai,1.7 dCi 150 Intelligent 4x4 Xtronic BVA Business Edition (Tout-Terrain),Diesel,Automatique,8CV,12/2018,3331,36400
Nissan Qashqai,1.7 dCi 150 Xtronic Intelligent 4x4 BVA Business Edition (Tout-Terrain),Diesel,Automatique,8CV,07/2019,3331,36400
Opel Insignia Tourer,1.6 D 136 Elegance Business (Break),Diesel,Manuelle,7CV,06/2019,100,36400
Peugeot 5008,1.2i 12V 130 PureTech BVM6 Crossway (Tout-Terrain),Essence,Manuelle,7CV,07/2019,125,36400
Peugeot 508 SW,1.5 BlueHDi 130 BVM6 Active Business (Break),Diesel,Manuelle,6CV,10/2018,0,36400
Renault Grand Scénic,1.7 Blue dCi 120 EDC Intens (Monospace),Diesel,Automatique,6CV,01/2019,450,36400
Toyota RAV 4,Hybride 218 BVA Active (Tout-Terrain),Hybride,Automatique,9CV,09/2019,0,36400
Toyota RAV 4,Hybride 218 2WD e-CVT Active (Tout-Terrain),Hybride,Automatique,9CV,10/2018,0,36400
Toyota RAV 4 Société,Hybride 155 + 42 2WD e-CVT Dynamic Edition Business (Tout-Terrain),Hybride,Automatique,9CV,04/2018,310,36400
Volvo XC40,T2 129 ch R-Design (Tout-Terrain),Essence,Manuelle,7CV,01/2020,2205,36400
Toyota Proace Fourgon,Medium 2.0 D-4D 150 BVM6 Business (Fourgon),Diesel,Manuelle,7CV,02/2018,1761,36402
Volkswagen Golf Sportsvan,2.0 TDI 150 DSG7 Confortline (Monospace),Diesel,Automatique,8CV,12/2019,0,36410
Volkswagen Scirocco,2.0 TDI 150 DSG6 Ultimate (Coupé),Diesel,Automatique,8CV,02/2017,260,36410
Renault Trafic,L1H1 1200 KG 2.0 dCi 145 Energy BVA CONFORT (Fourgon),Diesel,Automatique,7CV,07/2019,4543,36420
Smart Fortwo Cabriolet,Electrique 82 ch BVA Edition One (Cabriolet),Électrique,Automatique,1CV,11/2019,-6000,36425
Audi Q3,35 TFSI 150 S tronic 7 (Tout-Terrain),Essence,Automatique,8CV,11/2018,740,36430
Ford Transit Fourgon Cabine Approfondie,T330 L2H2 2.0D 105 EcoBlue Ambiente (Fourgon),Diesel,Manuelle,7CV,05/2019,9103,36432
Citroen C5 AirCross,1.5 BlueHDi 130 EAT8 Business+ (Tout-Terrain),Diesel,Automatique,6CV,09/2018,0,36440
Ford Transit Fourgon,T330 L3H3 2.0D 105 EcoBlue Ambiente (Fourgon),Diesel,Manuelle,7CV,05/2019,9103,36444
Mercedes Vito Mixto,114 CDI Mixto Long 136ch (Fourgon),Diesel,Manuelle,5CV,09/2019,13109,36444
Volkswagen Passat,1.5 TSI 150 DSG7 Business (4p.),Essence,Automatique,8CV,08/2019,150,36445
BMW Série 1,118d 150ch Luxury (5p.),Diesel,Manuelle,7CV,05/2019,0,36450
BMW Série 2 Gran Coupé,218i Gran Coupé 140ch Business Design (Coupé),Essence,Manuelle,7CV,10/2019,260,36450
Ford Focus,2.3i 280 EcoBoost BVA7 ST (5p.),Essence,Automatique,18CV,05/2019,,36450
Infiniti Q30,2.2d 170 AWD 7DCT Luxe (Tout-Terrain),Diesel,Automatique,9CV,02/2018,2049,36450
Jeep Renegade,2.0 l MultiJet 140 ch 4x4 BVA9 S (Tout-Terrain),Diesel,Automatique,8CV,01/2020,4818,36450
Peugeot 3008,1.2i 12V 130 PureTech EAT8 Crossway (Tout-Terrain),Essence,Automatique,6CV,07/2019,0,36450
Volkswagen Transporter ProCab,L1 2.0 TDI 110 BUSINESS LINE (Fourgon),Diesel,Manuelle,7CV,07/2019,7851,36456
Volkswagen Transporter ProCab,L1 2.0 TDI 90 CONFORT (Fourgon),Diesel,Manuelle,7CV,07/2019,6724,36456
Ford Transit Custom Kombi,320 L1H1 2.0D 130 mHEV EcoBlue Trend Business (Combiné),Diesel,Manuelle,8CV,05/2019,1504,36460
Fiat Talento,FGN TOLE 1.3 LH1 1.6 D MultiJet 145 Pack Techno (Fourgon),Diesel,Manuelle,5CV,02/2018,8254,36462
Fiat Talento,1.6 D MultiJet 125 Tolé Pack Techno (Fourgon),Diesel,Manuelle,5CV,02/2018,6375,36462
Fiat Talento,2.0 MULTIJET 145 PACK PRO NAV (Fourgon),Diesel,Manuelle,5CV,08/2019,,36468
Fiat Talento,2.0 MULTIJET 170 PACK TECHNO (Fourgon),Diesel,Manuelle,5CV,08/2019,,36468
Mercedes Vito,114 CDI 136ch COMPACT SELECT (Fourgon),Diesel,Manuelle,6CV,06/2019,13109,36468
Citroen Jumper Châssis Cabine,33 L2 2.0 BlueHDi 140 BVM6 Control (Châssis),Diesel,Manuelle,7CV,06/2019,12552,36480
Renault Trafic,L2H1 1300 KG 2.0 dCi 145 Energy Euro 6 GRAND CONFORT (Fourgon),Diesel,Manuelle,7CV,06/2019,2370,36480
Renault Trafic Cabine Approfondie,L1H1 1200 KG 2.0 dCi 120 Euro 6 GRAND CONFORT (Fourgon),Diesel,Manuelle,7CV,06/2019,4818,36480
Volkswagen Transporter,6.1 FGN VITRE L2H1 2.0 TDI 90 BVM5 BUSINESS LINE (Fourgon),Diesel,Manuelle,7CV,11/2019,6724,36480
Lexus UX,2.0i 152 Hybride 250h 2WD BVA (Tout-Terrain),Hybride,Automatique,7CV,10/2018,0,36490
Subaru BRZ Coupé,2.0i 200 BVA6 Luxury (Coupé),Essence,Automatique,12CV,03/2019,18905,36490
Subaru Forester,2.0 150 Lineartronic Luxury Eyesight (Tout-Terrain),Essence,Automatique,9CV,03/2019,10011,36490
Mazda CX-5,2.2L Skyactiv-D 150 ch 4x2 BVA6 Elegance (Tout-Terrain),Diesel,Automatique,8CV,01/2020,2370,36500
Mercedes Classe GLA,GLA 180 122ch 7G-DCT Sensation (Tout-Terrain),Essence,Automatique,7CV,05/2018,1629,36500
Mini Mini Countryman,2.0i Twin Power Turbo 192 Cooper S Business Design (Tout-Terrain),Essence,Manuelle,11CV,01/2019,2370,36500
Renault Kadjar,1.3i TCe 160 EDC Black Edition (Tout-Terrain),Essence,Automatique,9CV,11/2018,1074,36500
Renault Talisman Estate,1.3i TCe 160 EDC Business (Break),Essence,Automatique,8CV,12/2018,650,36500
Volkswagen Golf SW,2.0 TDI 150 FAP BVM6 Carat (Break),Diesel,Manuelle,8CV,12/2019,0,36505
Ford Transit Chassis Modulaire,T350 L4 2.0D 130 EcoBlue Ambiente (Châssis),Diesel,Manuelle,8CV,05/2019,12012,36516
Ford Transit Kombi,T330 L2H2 2.0D 105 EcoBlue Ambiente (Combiné),Diesel,Manuelle,6CV,05/2019,5715,36520
Volkswagen Passat SW,1.5 TSI 150 DSG7 (Break),Essence,Automatique,8CV,08/2019,150,36520
Toyota Proace Fourgon,2.0 D-4D 120 BVM6 Long Business (Fourgon),Diesel,Manuelle,7CV,02/2019,3331,36522
Ford Transit Kombi,T310 L3H2 2.0D 105 EcoBlue Ambiente (Combiné),Diesel,Manuelle,6CV,05/2019,5715,36530
Citroen Jumpy Cabine Approfondie,M 2.0 BlueHDi 150 BVM6 CONTROL (Fourgon),Diesel,Manuelle,7CV,04/2019,1901,36540
Citroen Jumpy Cabine Approfondie,XL 2.0 BlueHDi 120 BVM6 CONTROL 340 NM (Fourgon),Diesel,Manuelle,7CV,04/2019,2370,36540
Mercedes Vito,Fourgon long FWD 114 CDI 136 PRO (Fourgon),Diesel,Manuelle,5CV,09/2019,12012,36540
Opel Vivaro,L2 1.5 D 120 BVA8 PACK BUSINESS (Fourgon),Diesel,Automatique,7CV,07/2019,2370,36540
Peugeot Expert Cabine Approfondie,Long (CA) 2.0 BlueHDi 120 EAT8 Pro (Fourgon),Diesel,Manuelle,7CV,07/2018,2370,36540
Peugeot Expert Cabine Approfondie,Standard (CA) 2.0 BlueHDi 150 EAT8 Pro (Fourgon),Diesel,Manuelle,7CV,07/2018,1901,36540
Toyota Proace Combi,Long 2.0L 120 D-4D BVA8 Dynamic (Combiné),Diesel,Automatique,7CV,11/2019,3331,36540
Volkswagen Transporter Châssis Cabine,L1 2.0 TDI 150 FAP DSG7 (Châssis),Diesel,Automatique,7CV,08/2016,9550,36540
Ford Transit Custom Kombi,320 L2H1 2.0D 130 EcoBlue Trend Business (Combiné),Diesel,Manuelle,8CV,05/2018,7086,36550
BMW Série 1,120d 190ch BVA (5p.),Diesel,Automatique,10CV,02/2020,,36550
BMW X1,sDrive16d 116ch DKG7 Lounge (Tout-Terrain),Diesel,Automatique,6CV,02/2018,150,36550
Mercedes Classe B,B 180 136ch AMG Line Edition (Monospace),Essence,Manuelle,7CV,09/2019,240,36550
Mercedes Classe B,B 180 136ch 7G-DCT AMG Line Edition (Monospace),Essence,Automatique,7CV,09/2019,240,36550
Mercedes Classe GLA,GLA 200 156ch Business Edition (Tout-Terrain),Essence,Manuelle,9CV,05/2018,2049,36550
Volkswagen Scirocco,2.0 TDI 184 Ultimate (Coupé),Diesel,Manuelle,10CV,02/2017,360,36550
Volkswagen Touran,2.0 TDI 150 DSG7 Lounge (Monospace),Diesel,Automatique,8CV,06/2019,170,36570
Volkswagen Transporter ProCab,L2 2.0 TDI 90 BVM5 BUSINESS LINE (Fourgon),Diesel,Manuelle,7CV,09/2019,6724,36576
Toyota Proace Cabine Approfondie,2.0 D-4D 120 BVM6 Long Active (Fourgon),Diesel,Manuelle,7CV,02/2019,4279,36582
Toyota Proace Cabine Approfondie,2.0 D-4D 120 Long Dynamic (Fourgon),Diesel,Manuelle,7CV,02/2018,3331,36582
Fiat Talento Plancher Cabine Approfondie,2.0 MULTIJET 120 PACK PRO NAV (Fourgon),Diesel,Manuelle,5CV,08/2019,,36588
Fiat Talento Plancher Cabine Approfondie,1.6 MULTIJET 95 PACK TECHNO (Fourgon),Diesel,Manuelle,5CV,08/2019,,36588
Kia XCeed,1.6l T-GDi 204 DCT7 Premium (Tout-Terrain),Essence,Automatique,11CV,07/2019,2370,36590
BMW Série 1,118d 150ch BVA8 Business Design (5p.),Diesel,Automatique,7CV,05/2019,0,36600
Citroen Grand C4 SpaceTourer,1.5 BlueHDi 130 EAT8 Shine (Monospace),Diesel,Automatique,6CV,09/2018,0,36600
Citroen Jumper,30 L1H1 (Vitré) 2.0 BlueHDi 140 BVM6 Control (Fourgon),Diesel,Manuelle,7CV,06/2019,3331,36600
Mercedes Classe A Berline,A 180 Berline 136ch 7G-DCT Progressive Line (4p.),Essence,Automatique,7CV,04/2019,240,36600
Mini Mini Countryman,2.0D 150 ALL4 BVA8 Cooper D (Tout-Terrain),Diesel,Automatique,8CV,01/2019,330,36600
Mini Mini Countryman,102 ch BVA7 One Yours (Tout-Terrain),Essence,Automatique,6CV,01/2020,360,36600
Nissan X-Trail,1.6 dCi 150 All-Mode 4x4-i Acenta (Tout-Terrain),Diesel,Manuelle,8CV,04/2019,4026,36600
Opel Insignia Grand Sport,1.6 D 136 Elite (5p.),Diesel,Manuelle,7CV,12/2018,0,36600
Peugeot 3008,1.5 BlueHDi 130 BVM6 Crossway (Tout-Terrain),Diesel,Manuelle,6CV,09/2019,0,36600
Peugeot 5008,1.5 BlueHDi 130 EAT8 Active (Tout-Terrain),Diesel,Automatique,6CV,02/2018,0,36600
Peugeot 5008,1.5 BlueHDi 130 EAT8 Active Business (Tout-Terrain),Diesel,Automatique,6CV,02/2018,0,36600
Renault Scénic,1.7 Blue dCi 150 SL Black Edition (Monospace),Diesel,Manuelle,8CV,05/2019,540,36600
Renault Talisman,2.0 Blue dCi 160 EDC Business (4p.),Diesel,Automatique,8CV,12/2018,450,36600
Renault ZOE,R135 BVA Intens Achat Intégral (5p.),Électrique,Automatique,1CV,09/2019,-6000,36600
Seat Ateca,2.0 TDI 150 4Drive DSG7 Style (5p.),Diesel,Automatique,8CV,06/2018,740,36600
Toyota GT86,2.0i Blue Racing (Coupé),Essence,Manuelle,12CV,04/2018,20000,36600
Audi A3 Sportback,30 TDI 116 Design Luxe (5p.),Diesel,Manuelle,6CV,09/2018,0,36620
Audi A3 Sportback,30 TDI 116 S Line Plus (5p.),Diesel,Manuelle,6CV,01/2019,0,36620
Toyota Proace Fourgon,Vitré Long (Vitré) 2.0 D-4D 120 BVM6 Business (Fourgon),Diesel,Manuelle,7CV,02/2018,2544,36630
Ford Transit Fourgon,T310 L3H3 2.0D 105 EcoBlue Trend Business (Fourgon),Diesel,Manuelle,7CV,05/2019,9103,36642
Mercedes Vito Mixto,114 CDI Mixto 136ch EXTRA LONG (Fourgon),Diesel,Manuelle,6CV,06/2019,14881,36642
BMW X1,sDrive16d 116ch Business Design (Tout-Terrain),Diesel,Manuelle,6CV,02/2018,230,36650
